"","t","month","fighter","interest","region","country.etc","pop","lat","long","capital"
"324",65,2009-05-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"325",65,2009-05-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"326",66,2009-06-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"327",66,2009-06-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"328",66,2009-06-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"329",66,2009-06-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"330",66,2009-06-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"331",67,2009-07-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"332",67,2009-07-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"333",67,2009-07-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"334",67,2009-07-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"335",67,2009-07-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"336",68,2009-08-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"337",68,2009-08-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"338",68,2009-08-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"339",68,2009-08-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"340",68,2009-08-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"341",69,2009-09-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"342",69,2009-09-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"343",69,2009-09-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"344",69,2009-09-01,"floyd",6,"Grand Rapids","USA",193006,42.96,-85.66,0
"345",69,2009-09-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"346",70,2009-10-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"347",70,2009-10-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"348",70,2009-10-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"349",70,2009-10-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"350",70,2009-10-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"351",71,2009-11-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"352",71,2009-11-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"353",71,2009-11-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"354",71,2009-11-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"355",71,2009-11-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"356",72,2009-12-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"357",72,2009-12-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"358",72,2009-12-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"359",72,2009-12-01,"floyd",3,"Grand Rapids","USA",193006,42.96,-85.66,0
"360",72,2009-12-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"361",73,2010-01-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"362",73,2010-01-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"363",73,2010-01-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"364",73,2010-01-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"365",73,2010-01-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"366",74,2010-02-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"367",74,2010-02-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"368",74,2010-02-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"369",74,2010-02-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"370",74,2010-02-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"371",75,2010-03-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"372",75,2010-03-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"373",75,2010-03-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"374",75,2010-03-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"375",75,2010-03-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"376",76,2010-04-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"377",76,2010-04-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"378",76,2010-04-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"379",76,2010-04-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"380",76,2010-04-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"381",77,2010-05-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"382",77,2010-05-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"383",77,2010-05-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"384",77,2010-05-01,"floyd",6,"Grand Rapids","USA",193006,42.96,-85.66,0
"385",77,2010-05-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"386",78,2010-06-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"387",78,2010-06-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"388",78,2010-06-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"389",78,2010-06-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"390",78,2010-06-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"391",79,2010-07-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"392",79,2010-07-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"393",79,2010-07-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"394",79,2010-07-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"395",79,2010-07-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"396",80,2010-08-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"397",80,2010-08-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"398",80,2010-08-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"399",80,2010-08-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"400",80,2010-08-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"401",81,2010-09-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"402",81,2010-09-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"403",81,2010-09-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"404",81,2010-09-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"405",81,2010-09-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"406",82,2010-10-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"407",82,2010-10-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"408",82,2010-10-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"409",82,2010-10-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"410",82,2010-10-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"411",83,2010-11-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"412",83,2010-11-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"413",83,2010-11-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"414",83,2010-11-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"415",83,2010-11-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"416",84,2010-12-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"417",84,2010-12-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"418",84,2010-12-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"419",84,2010-12-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"420",84,2010-12-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"421",85,2011-01-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"422",85,2011-01-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"423",85,2011-01-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"424",85,2011-01-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"425",85,2011-01-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"426",86,2011-02-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"427",86,2011-02-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"428",86,2011-02-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"429",86,2011-02-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"430",86,2011-02-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"431",87,2011-03-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"432",87,2011-03-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"433",87,2011-03-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"434",87,2011-03-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"435",87,2011-03-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"436",88,2011-04-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"437",88,2011-04-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"438",88,2011-04-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"439",88,2011-04-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"440",88,2011-04-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"441",89,2011-05-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"442",89,2011-05-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"443",89,2011-05-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"444",89,2011-05-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"445",89,2011-05-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"446",90,2011-06-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"447",90,2011-06-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"448",90,2011-06-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"449",90,2011-06-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"450",90,2011-06-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"451",91,2011-07-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"452",91,2011-07-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"453",91,2011-07-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"454",91,2011-07-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"455",91,2011-07-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"456",92,2011-08-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"457",92,2011-08-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"458",92,2011-08-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"459",92,2011-08-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"460",92,2011-08-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"461",93,2011-09-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"462",93,2011-09-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"463",93,2011-09-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"464",93,2011-09-01,"floyd",14,"Grand Rapids","USA",193006,42.96,-85.66,0
"465",93,2011-09-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"466",94,2011-10-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"467",94,2011-10-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"468",94,2011-10-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"469",94,2011-10-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"470",94,2011-10-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"471",95,2011-11-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"472",95,2011-11-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"473",95,2011-11-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"474",95,2011-11-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"475",95,2011-11-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"476",96,2011-12-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"477",96,2011-12-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"478",96,2011-12-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"479",96,2011-12-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"480",96,2011-12-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"481",97,2012-01-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"482",97,2012-01-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"483",97,2012-01-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"484",97,2012-01-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"485",97,2012-01-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"486",98,2012-02-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"487",98,2012-02-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"488",98,2012-02-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"489",98,2012-02-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"490",98,2012-02-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"491",99,2012-03-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"492",99,2012-03-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"493",99,2012-03-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"494",99,2012-03-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"495",99,2012-03-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"496",100,2012-04-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"497",100,2012-04-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"498",100,2012-04-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"499",100,2012-04-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"500",100,2012-04-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"501",101,2012-05-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"502",101,2012-05-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"503",101,2012-05-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"504",101,2012-05-01,"floyd",11,"Grand Rapids","USA",193006,42.96,-85.66,0
"505",101,2012-05-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"506",102,2012-06-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"507",102,2012-06-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"508",102,2012-06-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"509",102,2012-06-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"510",102,2012-06-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"511",103,2012-07-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"512",103,2012-07-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"513",103,2012-07-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"514",103,2012-07-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"515",103,2012-07-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"516",104,2012-08-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"517",104,2012-08-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"518",104,2012-08-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"519",104,2012-08-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"520",104,2012-08-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"521",105,2012-09-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"522",105,2012-09-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"523",105,2012-09-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"524",105,2012-09-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"525",105,2012-09-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"526",106,2012-10-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"527",106,2012-10-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"528",106,2012-10-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"529",106,2012-10-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"530",106,2012-10-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"531",107,2012-11-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"532",107,2012-11-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"533",107,2012-11-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"534",107,2012-11-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"535",107,2012-11-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"536",108,2012-12-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"537",108,2012-12-01,"nate",1,"Stockton","USA",299188,37.97,-121.31,0
"538",108,2012-12-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"539",108,2012-12-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"540",108,2012-12-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"541",109,2013-01-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"542",109,2013-01-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"543",109,2013-01-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"544",109,2013-01-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"545",109,2013-01-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"546",110,2013-02-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"547",110,2013-02-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"548",110,2013-02-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"549",110,2013-02-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"550",110,2013-02-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"551",111,2013-03-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"552",111,2013-03-01,"nate",1,"Stockton","USA",299188,37.97,-121.31,0
"553",111,2013-03-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"554",111,2013-03-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"555",111,2013-03-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"556",112,2013-04-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"557",112,2013-04-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"558",112,2013-04-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"559",112,2013-04-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"560",112,2013-04-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"561",113,2013-05-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"562",113,2013-05-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"563",113,2013-05-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"564",113,2013-05-01,"floyd",8,"Grand Rapids","USA",193006,42.96,-85.66,0
"565",113,2013-05-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"566",114,2013-06-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"567",114,2013-06-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"568",114,2013-06-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"569",114,2013-06-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"570",114,2013-06-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"571",115,2013-07-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"572",115,2013-07-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"573",115,2013-07-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"574",115,2013-07-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"575",115,2013-07-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"576",116,2013-08-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"577",116,2013-08-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"578",116,2013-08-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"579",116,2013-08-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"580",116,2013-08-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"581",117,2013-09-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"582",117,2013-09-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"583",117,2013-09-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"584",117,2013-09-01,"floyd",21,"Grand Rapids","USA",193006,42.96,-85.66,0
"585",117,2013-09-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"586",118,2013-10-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"587",118,2013-10-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"588",118,2013-10-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"589",118,2013-10-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"590",118,2013-10-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"591",119,2013-11-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"592",119,2013-11-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"593",119,2013-11-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"594",119,2013-11-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"595",119,2013-11-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"596",120,2013-12-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"597",120,2013-12-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"598",120,2013-12-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"599",120,2013-12-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"600",120,2013-12-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"601",121,2014-01-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"602",121,2014-01-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"603",121,2014-01-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"604",121,2014-01-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"605",121,2014-01-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"606",122,2014-02-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"607",122,2014-02-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"608",122,2014-02-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"609",122,2014-02-01,"floyd",3,"Grand Rapids","USA",193006,42.96,-85.66,0
"610",122,2014-02-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"611",123,2014-03-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"612",123,2014-03-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"613",123,2014-03-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"614",123,2014-03-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"615",123,2014-03-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"616",124,2014-04-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"617",124,2014-04-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"618",124,2014-04-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"619",124,2014-04-01,"floyd",3,"Grand Rapids","USA",193006,42.96,-85.66,0
"620",124,2014-04-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"621",125,2014-05-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"622",125,2014-05-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"623",125,2014-05-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"624",125,2014-05-01,"floyd",13,"Grand Rapids","USA",193006,42.96,-85.66,0
"625",125,2014-05-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"626",126,2014-06-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"627",126,2014-06-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"628",126,2014-06-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"629",126,2014-06-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
"630",126,2014-06-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"631",127,2014-07-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"632",127,2014-07-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"633",127,2014-07-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"634",127,2014-07-01,"floyd",3,"Grand Rapids","USA",193006,42.96,-85.66,0
"635",127,2014-07-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"636",128,2014-08-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"637",128,2014-08-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"638",128,2014-08-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"639",128,2014-08-01,"floyd",4,"Grand Rapids","USA",193006,42.96,-85.66,0
"640",128,2014-08-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"641",129,2014-09-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"642",129,2014-09-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"643",129,2014-09-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"644",129,2014-09-01,"floyd",10,"Grand Rapids","USA",193006,42.96,-85.66,0
"645",129,2014-09-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"646",130,2014-10-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"647",130,2014-10-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"648",130,2014-10-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"649",130,2014-10-01,"floyd",2,"Grand Rapids","USA",193006,42.96,-85.66,0
