"","t","month","fighter","interest","region","country.etc","pop","lat","long","capital"
"74",15,2005-03-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"75",15,2005-03-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"76",16,2005-04-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"77",16,2005-04-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"78",16,2005-04-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"79",16,2005-04-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"80",16,2005-04-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"81",17,2005-05-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"82",17,2005-05-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"83",17,2005-05-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"84",17,2005-05-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"85",17,2005-05-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"86",18,2005-06-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"87",18,2005-06-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"88",18,2005-06-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"89",18,2005-06-01,"floyd",1,"Grand Rapids","USA",193006,42.96,-85.66,0
"90",18,2005-06-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"91",19,2005-07-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"92",19,2005-07-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"93",19,2005-07-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"94",19,2005-07-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"95",19,2005-07-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"96",20,2005-08-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"97",20,2005-08-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"98",20,2005-08-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"99",20,2005-08-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"100",20,2005-08-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"101",21,2005-09-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"102",21,2005-09-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"103",21,2005-09-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"104",21,2005-09-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"105",21,2005-09-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"106",22,2005-10-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"107",22,2005-10-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"108",22,2005-10-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"109",22,2005-10-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"110",22,2005-10-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"111",23,2005-11-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"112",23,2005-11-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"113",23,2005-11-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"114",23,2005-11-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"115",23,2005-11-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"116",24,2005-12-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"117",24,2005-12-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"118",24,2005-12-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"119",24,2005-12-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"120",24,2005-12-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"121",25,2006-01-01,"conor",1,"Dublin","Ireland",1030431,53.33,-6.25,1
"122",25,2006-01-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"123",25,2006-01-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
"124",25,2006-01-01,"floyd",0,"Grand Rapids","USA",193006,42.96,-85.66,0
"125",25,2006-01-01,"jorge",0,"Miami","USA",386740,25.78,-80.21,0
"126",26,2006-02-01,"conor",0,"Dublin","Ireland",1030431,53.33,-6.25,1
"127",26,2006-02-01,"nate",0,"Stockton","USA",299188,37.97,-121.31,0
"128",26,2006-02-01,"khabib",0,"Moscow","Russia",10472629,55.75,37.62,1
