t,month,conor,nate,khabib,floyd,jorge
140,8/1/2015,1,<1,<1,3,<1
141,9/1/2015,2,<1,<1,8,<1
142,10/1/2015,1,<1,<1,2,<1
143,11/1/2015,2,<1,<1,2,<1
144,12/1/2015,14,<1,<1,2,<1
145,1/1/2016,4,<1,<1,1,<1
146,2/1/2016,5,1,<1,1,<1
147,3/1/2016,14,8,<1,1,<1
148,4/1/2016,6,1,1,2,<1
149,5/1/2016,4,<1,<1,2,<1
150,6/1/2016,2,<1,<1,1,<1
151,7/1/2016,3,1,<1,1,<1
152,8/1/2016,12,7,<1,1,<1
153,9/1/2016,3,1,<1,1,<1
154,10/1/2016,3,<1,<1,1,<1
155,11/1/2016,12,1,1,1,<1
156,12/1/2016,4,<1,<1,2,<1
157,1/1/2017,4,<1,<1,2,<1
158,2/1/2017,3,<1,<1,2,<1
159,3/1/2017,4,<1,1,3,<1
160,4/1/2017,3,<1,<1,2,<1
161,5/1/2017,3,<1,<1,2,<1
162,6/1/2017,8,<1,<1,7,<1
163,7/1/2017,21,1,<1,18,<1
164,8/1/2017,100,1,<1,99,<1
165,9/1/2017,5,<1,<1,4,<1
166,10/1/2017,3,<1,<1,1,<1
167,11/1/2017,4,<1,<1,1,<1
168,12/1/2017,4,<1,1,1,<1
169,1/1/2018,3,<1,1,1,<1
170,2/1/2018,3,<1,<1,2,<1
171,3/1/2018,3,<1,1,2,<1
172,4/1/2018,10,<1,3,1,<1
173,5/1/2018,2,<1,<1,1,<1
174,6/1/2018,2,<1,<1,1,<1
175,7/1/2018,3,<1,<1,1,<1
176,8/1/2018,4,<1,2,1,<1
177,9/1/2018,8,<1,4,2,<1
178,10/1/2018,45,1,38,2,<1
179,11/1/2018,3,<1,1,2,<1
180,12/1/2018,3,<1,1,3,<1
181,1/1/2019,3,<1,1,3,<1
182,2/1/2019,2,<1,1,1,<1
183,3/1/2019,4,<1,1,1,1
184,4/1/2019,3,<1,1,1,<1
185,5/1/2019,2,<1,1,1,<1
186,6/1/2019,2,<1,1,1,<1
187,7/1/2019,2,<1,1,1,1
188,8/1/2019,3,2,1,1,<1
189,9/1/2019,3,1,10,1,<1
190,10/1/2019,2,1,1,1,1
191,11/1/2019,2,3,1,1,2
192,12/1/2019,3,<1,1,1,<1
193,1/1/2020,20,<1,2,1,1
194,2/1/2020,3,<1,1,1,<1
195,3/1/2020,2,<1,2,2,<1
196,4/1/2020,2,<1,1,2,<1
197,5/1/2020,3,<1,1,1,<1
198,6/1/2020,2,<1,1,1,<1
199,7/1/2020,2,<1,2,1,3
200,8/1/2020,2,<1,1,1,<1
201,9/1/2020,2,<1,1,1,<1
202,10/1/2020,3,<1,14,1,<1
203,11/1/2020,2,<1,2,1,<1
204,12/1/2020,3,<1,1,3,<1
205,1/1/2021,19,<1,2,2,<1
206,2/1/2021,2,<1,1,2,<1
207,3/1/2021,2,<1,1,1,<1
208,4/1/2021,3,<1,1,2,2
209,5/1/2021,2,<1,1,4,<1
210,6/1/2021,3,1,1,28,<1
211,7/1/2021,18,<1,2,1,<1
212,8/1/2021,2,<1,1,1,<1
213,9/1/2021,3,<1,1,1,<1
214,10/1/2021,3,<1,1,1,<1
215,11/1/2021,2,<1,1,1,<1
216,12/1/2021,2,<1,1,1,<1
217,1/1/2022,2,<1,1,1,<1
218,2/1/2022,2,<1,1,1,<1
219,3/1/2022,2,<1,1,1,2
220,4/1/2022,2,<1,1,1,<1
221,5/1/2022,2,<1,1,1,<1
222,6/1/2022,2,<1,1,1,<1
223,7/1/2022,2,1,1,1,<1
224,8/1/2022,2,1,1,1,<1
225,9/1/2022,2,2,1,1,<1
